iter	Logloss
0	0.5018620425
1	0.3784159869
2	0.2936833149
3	0.2459513322
4	0.2060463011
5	0.1816065328
6	0.1654705167
7	0.1479093256
8	0.1359652325
9	0.1288433637
10	0.1194726028
11	0.1125525515
12	0.1064665289
13	0.1023776914
14	0.0996346122
15	0.09644500077
16	0.09468471049
17	0.09259596516
18	0.09057977463
19	0.08859185878
20	0.08705590801
21	0.0849481898
22	0.08361941564
23	0.08263865019
24	0.08095749777
25	0.08048142598
26	0.07913347062
27	0.07801953698
28	0.0770726822
29	0.07616606825
30	0.0755434087
31	0.07461861692
32	0.07383259595
33	0.07286066071
34	0.07195579615
35	0.07116824561
36	0.07067846056
37	0.0703004628
38	0.06994670384
39	0.06929051522
40	0.06909019502
41	0.06850174213
42	0.06785906704
43	0.06757428572
44	0.06714881833
45	0.06677231354
46	0.06626427881
47	0.06588244042
48	0.06539149672
49	0.06516660985
50	0.0649087397
51	0.06473950905
52	0.06434404863
53	0.06410142486
54	0.06379693024
55	0.06360535801
56	0.06334470739
57	0.06323437581
58	0.0631292331
59	0.06300761045
60	0.06277759607
61	0.06264229269
62	0.06228839399
63	0.0620545786
64	0.06177271052
65	0.06157505198
66	0.06131036052
67	0.0613062559
68	0.06091590846
69	0.06054714046
70	0.06018136519
71	0.05995751423
72	0.05985792169
73	0.05969592252
74	0.0592884453
75	0.05920315841
76	0.05890823908
77	0.05866476005
78	0.0583913181
79	0.05816547562
80	0.05798006874
81	0.05766864821
82	0.057612893
83	0.05741255295
84	0.05721160977
85	0.05694361874
86	0.05673276041
87	0.05654892628
88	0.05646656946
89	0.05616337325
90	0.05587597793
91	0.05567734573
92	0.05560329731
93	0.05550719509
94	0.05535016324
95	0.05510664651
96	0.05499174211
97	0.05493462529
98	0.05478136055
99	0.05473421429
100	0.0545750773
101	0.0543782861
102	0.05413443596
103	0.05399187711
104	0.0537949766
105	0.05362654079
106	0.05339598513
107	0.05317783807
108	0.05302465215
109	0.05277447524
110	0.05250644569
111	0.05226834588
112	0.05208627325
113	0.0518933208
114	0.05175847502
115	0.05153200506
116	0.05143403934
117	0.05110846137
118	0.05089607074
119	0.05065474561
120	0.05044584149
121	0.05036411589
122	0.05017296498
123	0.05009917814
124	0.04994826609
125	0.04978140432
126	0.04954329767
127	0.04942114575
128	0.04935198303
129	0.04916464238
130	0.04904300403
131	0.04881313733
132	0.04866808587
133	0.04859883758
134	0.04840016655
135	0.04822294538
136	0.04820934534
137	0.04803016724
138	0.04793047985
139	0.04772400831
140	0.04767003187
141	0.04761598408
142	0.04748634333
143	0.04725146562
144	0.04714673412
145	0.0469801512
146	0.04681979995
147	0.04656411741
148	0.04636247708
149	0.0461574155
150	0.04608780323
151	0.04593575662
152	0.04588541749
153	0.0458127458
154	0.04580225823
155	0.04558882124
156	0.04552586583
157	0.04535871068
158	0.04518985107
159	0.04508189151
160	0.04497333353
161	0.04486583043
162	0.044671904
163	0.04455366251
164	0.04437492823
165	0.04418756928
166	0.04415415704
167	0.04406034227
168	0.04388383308
169	0.04371420433
170	0.04352154706
171	0.04337263777
172	0.04336540196
173	0.04331568254
174	0.04318541346
175	0.04308418231
176	0.04303334664
177	0.04291745821
178	0.04270297322
179	0.04262391961
180	0.04251309904
181	0.04240874353
182	0.04223321751
183	0.04206382426
184	0.04195641934
185	0.04180811441
186	0.0416899984
187	0.04161792295
188	0.04158340854
189	0.04150429442
190	0.04133505517
191	0.04126704652
192	0.04118229995
193	0.04105373717
194	0.04088448682
195	0.04084756901
196	0.04073235793
197	0.04061999992
198	0.04051205109
199	0.04040544585
